9499,"Grace Surpasses",2010,PG-13,"Documentary|Drama","Coury Deeb","Daniel Door Abraham|Angelina Abuy|Mary Achok",59,"Grace Surpasses is a story about perseverance in a country where peace is an ancient relic and hope is a dangerous luxury",jsonld
9500,"Happy Holidays",2005,PG-13,"Comedy|Holiday|Drama","James Ferguson","Michael Emanuel|Paul Hungerford|John B. Crye",103,"Three childhood friends - now in their mid-thirties - unexpectedly reunite in their New England hometown the week before Christmas in a story about fr",jsonld
9504,"Hey Diddle Diddle",2008,TV-MA,"Drama","Teri Johnson|Chester Jones III","Chester Jones III|Alex C. Ferrill|Aimee Cucchiaro",106,"An unemployed man, who was once Mr. Popularity at school, must overcome a crippling social disorder to attend his high-school reunion.",jsonld
9505,"High Society: A Pot Boiler",2008,PG-13,"Comedy|Music","Kristian Davies","Erik Davies|Jeremiah Bitsui|Peter Alton",90,"With buds like these who needs friends?",jsonld
9507,"The Iconographer",2008,TV-14,"Drama","Andy Mingo","Richard Cox|Jen Fuller|Karl Glusman",104,"As two estranged brothers vie for the love of the same woman, what they ultimately discover is neither expected nor desired.",jsonld
9508,"In Search Of",2008,R,"Drama","Zeke Zelker","Dan Lauria|Emily Grace|Keith Nobbs",106,"Sex is why we're all here. Power. Love. Sex. We're all looking for something.",jsonld
9510,"Jezebeth",2000,PG-13,"Horror","Damien Dante","Bree Michaels|Katie Auerbach|Colleena Corrigan",83,"In the attic of an ancestral home, a devil worshipping sadist, at war with God, unwittingly discovers a nineteenth century diary that details the summ",jsonld
9511,"Just Like Us",2008,PG-13,"Documentary|Comedy","Ahmed Ahmed","Ahmed Ahmed|Ted Alexandro|Sherif Azab",74,"Comedian Ahmed Ahmed hosts a celebration of culture through comedy, by sharing his experience through the Middle East.",jsonld
9512,"Kingdom Of Dust",2010,TV-MA,"Drama|War","Heath Jones","Elyes Gabel|Stephen Hogan|Alyy Khan",98,"In war-torn Baghdad, a British hostage begins a psychological game of cat and mouse with his enemy captors, hoping to escape certain death.",jsonld
9514,"KUMPANIA Flamenco Los Angeles",2012,PG,"Documentary|Music","Katina Dunn","Antonio De Jerez|Jose Tanaka|Vanessa Acosta-Albalos",60,"The mysterious pull of an old Spanish 'Gypsy' art on contemporary musicians in Los Angeles is the essence of KUMPANIA.",jsonld
9515,"Less",2009,PG-13,"Drama|Fantasy|Romance","Gabriel Diamond","Dave Amiott|Zak Barnett|David Crane",77,"Could the fastest route to enlightenment be straight into the gutter? In Less we see the world through the eyes of an atypical homeless man, in an unu",jsonld
9519,"London Voodoo",2003,TV-MA,"Horror","Robert Pratten","Doug Cockle|Sara Stewart|Michael Nyqvist",89,"When a young man relocates his family from New York to London his wife discovers a new sexuality and power that threatens to tear the family apart.",jsonld
9521,"The Legend Still Lives: 30 Years of Madman",2011,TV-14,"Documentary","Victor Bonacore","Paul Ehlers|Gary Sales|Harriet Bass",88,"A retrospective documentary on the 80's slasher film classic Madman. Interviews with the original and available cast & crew, including Madman Marz him",jsonld
9522,"Madman",1980,R,"Horror|Thriller|Mystery","Joe Giannone","Gaylen Ross|Paul Ehlers|Tony Nunziata",88,"At a summer camp haunted by legends of an axe murderer, counselors and campers are slaughtered one-by-one when his spirit returns with a vengeance.",jsonld
9524,"Manga Mad",2007,TV-14,"Documentary","Ray Castle","Leiji Matsumoto|Fusanosuke Natsume|Yoshiro Yonezawa",59,"Filmed in Tokyo, the comic capital of the world, this film explores Japan's passion for anime–its biggest pop culture phenomenon and largest export.",jsonld
9525,"Mercury Undercover",2010,TV-PG,"Documentary","Elizabeth Hong|Daniel Montoya","Charlie Brown|William P. Glaros|Edward F. Group",70,"A gripping tale that will make you think twice before you eat your next catch-of-the-day or plan your next visit to the dentist's office.",jsonld
9527,"Mikey's Extreme Romance",2009,PG-13,"Comedy|Drama|Romance","Jamie Lewis","Jessie McKay|Jamie Lewis|Barry Shepherd",94,"Follow the adventures of Mikey the Extreme Romancer and learn a thing or two about commitment - right or wrong....",jsonld
9528,"Mindflesh",2007,TV-MA,"Horror|Sci-Fi","Robert Pratten","Peter Bramhill|Carole Derrien|Christopher Fairbank",72,"A psycho-sexual horror/thriller about obsession.",jsonld
9529,"Mr. Christmas",2004,TV-G,"Holiday|Drama|Kids & Family","Beth Brickell","Jace McLean|Jen Celene Little|Ireland Rose Maddox",56,"A young father struggling to make ends meet can't afford to buy his 5-year-old daughter what she's expecting Santa Claus to bring her for Christmas.",jsonld
9531,"The Neighbor",2009,PG-13,"Drama","Naghmeh Shirkhan","Azita Sahebjam|Tara Nazemi|Parisa Wahedi",109,"The Neighbor centers on Shirin, a middle-aged dance instructor who has just ended a long-distance affair.",jsonld
9532,"New Flavors",2008,TV-MA,"Documentary|Music","Brian Bentley|Vernon Clarke","",60,"New Flavors explains the impact of Southern Hip Hop and how the whole genre has impacted the cultural, economic, political and social landscape of Ame",jsonld
9533,"Night Of The Alien",2010,PG-13,"Comedy|Sci-Fi","Vaughn Verdi","Madeline Baugh|Sean August Cirrito|John Crook",80,"An unemployed slacker, and best friend The Lord of Evil and darkness are two lost souls on a road trip through the  Southern California desert.",jsonld
9546,"Preaching to the Perverted",2012,PG-13,"Comedy|Drama","Stuart Urban","Guinevere Turner|Christien Anholt|Tom Bell",99,"Minister on a moral crusade employs young computer whizzkid Peter to infiltrate the London S&M scene.",jsonld
9547,"Play With Fire",2008,TV-MA,"Drama|Crime","Soren Johnstone","Mike Townsend|Kevin Wilson|Andrea Wilson",88,"Christian gets involved in a scheme undercutting the wrong people. The love of his life, Melody, gives him the chance to start over by leaving town wi",jsonld
9548,"The Proper Care and Feeding of an American Messiah",2005,TV-14,"Comedy|Documentary","Chris Hansen","Dustin Olson|Joseph Frost|Ellen Dolan",94,"A mock documentary story of a man who thinks he is a messiah. Not the messiah, but rather a local, regionally-selected messiah for his own hometown.",jsonld
9549,"Purgatory House",2010,PG-13,"Drama","Cindy Baer","Celeste Davis|Johnny Pacar|Devin Witt",95,"Written by and starring a 14-year-old girl, this film is a living, breathing snapshot of how it feels to be a teen in today's disconnected world.",jsonld
9550,"Random Lunacy",2006,TV-14,"Documentary","Stephanie Silber|Victor Zimet","Poppa Neutrino",,"This vibrant documentary follows free-spirited nomad Poppa Neutrino as he roves the planet by land and sea, making up his life as he goes along.",jsonld
9551,"Rev",2010,TV-14,"Documentary|Action","Vance Shaw","Chris Rubens|Sean Chochrane|Andrew Sheppard",37,"Mind-blowing ski porn, engaging storytelling, and timely journalism.",jsonld
9552,"Revamped",2006,PG-13,"Horror","Jeff Rector","Jeff Rector|Christa Campbell|Martin Cove",84,"Successful businessman Richard Clarke is bitten by a beautiful vampire and is plunged into the dark world of the supernatural.",jsonld
9554,"Sedona",2010,PG-13,"Drama|Comedy","Tommy Stovall","Frances Fisher|Seth Peterson|Barry Corbin",87,"Visitors to the beautiful mystical town of Sedona encounter eccentric characters and a series of fateful disasters that lead them to unexpected life t",jsonld
9555,"Sixes and the One Eyed King",2005,PG-13,"Drama","Ray Nomoto Robison","Nicole Strykowski|Scott Ford|Grace Thorsen",88,"Six suicidal contestants compete in a series of Russian Roulette style games as part of and internet gambling website.",jsonld
9556,"Skid Row",2006,NR,"Documentary","Ross Clarke|Niva Dorell|Marshall Tyler","Pras Michel",94,"Grammy Award-winning Fugees star Pras Michel lives undercover as a homeless man on L.A.’s squalid, notorious Skid Row for 9 days to raise awareness.",jsonld
9557,"Spilt Milk",2009,PG-13,"Comedy","Blake Calhoun","Jake M. Johnson|Chase Ryan Jeffery|Kimberly Matula",80,"A disgruntled grocery store clerk can't quit living in the past until one night his store gets robbed and it changes his future forever.",jsonld
